A-n32-k5;784;5;1,06278;
A-n63-k10;1323;10;6,83697;
X-n101-k25;27591;26;21,3827;
X-n106-k14;27145;14;90,1733;
X-n110-k13;16652;13;29,0508;
X-n115-k10;14197;10;46,8287;
X-n120-k6;14549;6;52,5133;
X-n125-k30;56158;30;104,867;
X-n129-k18;-1;0;0;
X-n134-k13;11716;13;22,7059;
X-n139-k10;15404;11;36,7719;
X-n143-k7;17549;7;107,846;
X-n148-k46;43459;47;89,7977;
X-n153-k22;22321;24;385,736;
X-n157-k13;18231;13;333,835;
X-n162-k11;16235;11;419,346;
X-n167-k10;22586;10;451,366;
X-n172-k51;46452;54;434,26;
X-n176-k26;50281;27;422,74;
X-n181-k23;27563;23;465,754;
X-n186-k15;28077;15;513,506;
X-n190-k8;18936;8;461,645;
X-n195-k51;46074;53;490,853;
X-n200-k36;61217;37;510,151;
X-n204-k19;22720;20;502,176;
X-n209-k16;33931;16;506,765;
X-n214-k11;11790;12;524,899;
X-n219-k73;117701;73;588,795;
X-n223-k34;43621;35;539,037;
X-n228-k23;27938;24;556,71;
X-n233-k16;21753;17;604,979;
X-n237-k14;31009;14;600,326;
X-n242-k48;87486;49;590,322;
X-n247-k50;-1;0;0;
X-n251-k28;42604;29;621,51;
X-n256-k16;21506;18;666,656;
X-n261-k13;31521;13;636,643;
X-n266-k58;80680;60;640,017;
X-n270-k35;38543;37;647,237;
X-n275-k28;23648;30;778,245;
X-n280-k17;36989;17;699,611;
X-n284-k15;22797;15;687,254;
X-n289-k60;100253;62;725,349;
X-n294-k50;50872;52;712,829;
X-n298-k31;37957;32;724,124;
X-n303-k21;24530;21;790,965;
