A-n32-k5;784;5;26,282;
A-n63-k10;1342;10;83,271;
X-n101-k25;28568;27;71,92;
X-n106-k14;27406;14;253,11;
X-n110-k13;16750;13;261,352;
X-n115-k10;14334;11;274,199;
X-n120-k6;15914;6;287,28;
X-n125-k30;56901;31;102,487;
X-n129-k18;31357;18;220,173;
X-n134-k13;12220;13;113,389;
X-n139-k10;15867;11;239,672;
X-n143-k7;18761;7;347,828;
X-n148-k46;44636;47;119,697;
X-n153-k22;22229;24;365,897;
X-n157-k13;18373;13;139,618;
X-n162-k11;16492;12;390,716;
X-n167-k10;24275;10;407,826;
X-n172-k51;46619;53;146,003;
X-n176-k26;50090;27;425,029;
X-n181-k23;27331;23;434,12;
X-n186-k15;28438;15;444,791;
X-n190-k8;19398;8;459,271;
X-n195-k51;45887;54;190,218;
X-n200-k36;61566;37;357,298;
X-n204-k19;22828;19;496,822;
X-n209-k16;35548;16;508,232;
X-n214-k11;12908;12;476,774;
X-n219-k73;119727;73;399,682;
X-n223-k34;43897;35;283,334;
X-n228-k23;28699;24;546,344;
X-n233-k16;21559;17;556,637;
X-n237-k14;32635;14;567,85;
X-n242-k48;87210;48;297,924;
X-n247-k50;-1;0;0;
X-n251-k28;43272;28;605,464;
X-n256-k16;22882;17;625,702;
X-n261-k13;31660;13;645,722;
X-n266-k58;81409;59;307,548;
X-n270-k35;39208;37;580,896;
X-n275-k28;24458;28;663,684;
X-n280-k17;39688;18;676,276;
X-n284-k15;24069;15;692,52;
X-n289-k60;100181;62;528,779;
X-n294-k50;50643;52;317,39;
X-n298-k31;39904;32;391,826;
X-n303-k21;25786;22;760,005;
X-n308-k13;30644;13;755,418;
X-n313-k71;98350;73;512,14;
X-n317-k53;82284;53;765,775;
X-n322-k28;35392;30;683,266;
X-n327-k20;33812;22;792,749;
X-n331-k15;38431;16;804,525;
X-n336-k84;144586;87;437,934;
X-n344-k43;47438;45;828,979;
